Date,SPY,SPYOP
38775,129.46,129.4
38776,128.23,129.2
38777,129.37,128.6
38778,129.36,128.9
38779,128.76,128.66
38782,128.17,129.14
38783,127.97,127.92
38784,128.24,127.7
38785,127.38,128.33
38786,128.59,127.72
38789,128.83,128.84
38790,130.18,128.71
38791,130.76,130.15
38792,131.03,130.98
38793,130.62,130.68
38796,130.41,130.64
38797,129.59,130.34
38798,130.38,129.51
38799,130.11,130.24
38800,130.21,129.99
38803,130.02,130.03
38804,129.22,129.93
38805,130.03,129.41
38806,129.8,130.11
38807,129.83,130.02
38810,129.73,130.07
38811,130.56,129.72
38812,131.01,130.61
38813,130.87,130.85
38814,129.54,131.06
38817,129.74,129.71
38818,128.64,129.85
38819,128.88,128.77
38820,128.71,128.59
38824,128.66,128.79
38825,130.7,128.95
38826,130.95,130.72
38827,131.13,131
38828,131.15,131.73
38831,130.91,130.93
38832,130.37,131.04
38833,130.4,130.5
38834,131.03,129.9
38835,131.47,130.79
38838,130.4,131.47
38839,131.38,131.01
38840,130.89,131.22
38841,131.36,131.08
38842,132.52,132.05
38845,132.36,132.51
38846,132.62,132.42
38847,132.55,132.41
38848,130.95,132.51
38849,129.24,130.48
38852,129.5,128.79
38853,129.31,129.76
38854,126.85,128.67
38855,126.21,127.38
38856,127.1,126.87
38859,126.13,126.28
38860,125.17,127.18
38861,126.17,125.68
38862,127.73,126.92
38863,128.38,128
38867,126.1,127.97
38868,127.51,126.58
38869,128.73,127.38
38870,129,129.25
38873,127.12,128.79
38874,126.81,127.21
38875,125.86,126.91
38876,125.75,125.58
38877,125.35,126.36
38880,123.99,125.88
38881,122.55,123.78
38882,123.5,122.84
38883,126.12,123.92
38884,124.65,125.19
38887,123.67,125.4
38888,124.09,124.01
38889,125.01,124
38890,124.46,124.95
38891,124.44,124.33
38894,124.99,124.54
38895,123.91,125.01
38896,124.75,124.19
38897,127.27,125.2
38898,127.23,127.47
38901,127.8,127.43
38903,127.07,127.29
38904,127.44,127.2
38905,126.61,127.19
38908,126.85,126.94
38909,127.41,126.61
38910,126.05,127.21
38911,124,125.5
38912,123.52,124.16
38915,123.34,123.5
38916,123.97,123.74
38917,125.69,124.18
38918,124.83,126.12
38919,123.95,125.15
38922,126.21,124.44
38923,126.66,125.98
38924,126.83,126.59
38925,126.71,127.33
38926,127.98,126.99
38929,127.85,127.66
38930,127.22,127.34
38931,128.08,127.58
38932,128.42,127.33
38933,128.2,129.06
38936,127.95,127.9
38937,127.41,128.09
38938,126.98,128.2
38939,127.37,126.53
38940,127.01,127.17
38943,127.11,127.63
38944,128.63,128.21
38945,129.79,129.32
38946,130.03,129.58
38947,130.69,130.19
38950,130.13,130.18
38951,130.12,129.94
38952,129.76,130.18
38953,129.65,129.99
38954,129.81,129.64
38957,130.43,129.65
38958,130.58,130.49
38959,130.66,130.87
38960,130.64,130.85
38961,131.42,131.14
38965,131.67,131.51
38966,130.51,131.11
38967,129.91,130.06
38968,130.28,130.08
38971,130.41,129.86
38972,131.69,130.56
38973,132.22,131.64
38974,132.23,131.96
38975,131.96,132.31
38978,132.14,131.79
38979,131.81,132.12
38980,132.51,132.25
38981,131.87,132.61
38982,131.47,131.67
38985,132.48,131.73
38986,133.58,132.5
38987,133.74,133.49
38988,133.69,133.74
38989,133.58,133.8
38992,133.08,133.54
38993,133.36,132.89
38994,134.92,133.23
38995,135.18,134.92
38996,135.01,134.95
38999,135.09,134.85
39000,135.27,135.11
39001,135.11,134.84
39002,136.28,135.45
39003,136.63,136.16
39006,136.84,136.52
39007,136.41,136.47
39008,136.59,137.04
39009,136.81,136.39
39010,136.84,136.81
39013,137.47,136.56
39014,137.88,137.28
39015,138.35,137.74
39016,138.78,138.66
39017,137.91,138.61
39020,137.81,137.66
39021,137.79,138.07
39022,136.86,138.22
39023,136.78,136.51
39024,136.54,137.27
39027,138.08,136.96
39028,138.61,138.2
39029,138.91,138
39030,138.18,139.01
39031,138.24,138.14
39034,138.58,138.18
39035,139.62,138.97
39036,140.02,139.57
39037,140.38,140.44
39038,140.42,139.93
39041,140.5,140.3
39042,140.64,140.49
39043,140.92,140.75
39045,140.35,140.24
39048,138.42,140.28
39049,139.02,138.24
39050,140.47,139.47
39051,140.53,140.44
39052,140.22,140.53
39055,141.29,140.25
39056,141.9,141.56
39057,141.78,141.87
39058,141.16,142.03
39059,141.42,141.13
39062,141.83,141.42
39063,141.72,141.69
39064,141.87,142.23
39065,143.12,141.86
39066,142.34,142.64
39069,141.95,142.54
39070,142.22,141.55
39071,142.14,142.28
39072,141.62,142.27
39073,140.75,141.64
39077,141.58,140.81
39078,142.51,141.87
39079,142.21,142.41
39080,141.62,142.1
39085,141.37,142.25
39086,141.67,141.23
39087,140.54,141.33
39090,141.19,140.82
39091,141.07,141.31
39092,141.54,140.58
39093,142.16,141.56
39094,143.24,142.12
39098,142.96,143.07
39099,143.02,142.85
39100,142.54,143.17
39101,142.82,142.54
39104,142.38,143.07
39105,142.8,142.26
39106,143.95,142.97
39107,142.26,143.84
39108,142.16,142.57
39111,142.05,142.19
39112,142.79,142.35
39113,143.75,142.63
39114,144.61,144.15
39115,144.81,144.73
39118,144.85,144.7
39119,144.89,144.97
39120,145.21,145.12
39121,145.02,144.78
39122,143.94,145.06
39125,143.45,143.94
39126,144.66,143.77
39127,145.61,144.8
39128,145.8,145.67
39129,145.73,145.44
39133,146.04,145.56
39134,145.98,145.61
39135,145.87,146.05
39136,145.3,145.74
39139,145.17,145.83
39140,139.5,143.88
39141,140.93,140.39
39142,140.51,139.34
39143,138.67,140.05
39146,137.35,137.93
39147,139.7,138.78
39148,139.56,139.59
39149,140.74,140.54
39150,140.78,141.31
39153,140.99,140.42
39154,138.25,140.18
39155,139.28,138.43
39156,139.47,138.97
39157,138.53,139.31
39160,140.2,139.26
39161,140.97,140.08
39162,143.29,141.1
39163,143.18,143.48
39164,143.39,143.29
39167,143.2,143.5
39168,142.86,143.12
39169,141.82,142.14
39170,141.97,142.54
39171,142,142.24
39174,142.16,142.16
39175,143.69,142.97
39176,143.85,143.69
39177,144.24,143.67
39181,144.44,144.65
39182,144.61,144.33
39183,144.02,144.82
39184,144.66,143.74
39185,145.32,144.9
39188,146.7,145.83
39189,147.09,146.97
39190,147.27,146.6
39191,147.23,146.55
39192,148.62,148.22
39195,148.06,148.37
39196,148.12,148.23
39197,149.48,148.73
39198,149.65,149.49
39199,149.53,149.09
39202,148.29,149.64
39203,148.67,148.42
39204,149.54,148.9
39205,150.35,149.97
39206,150.92,150.75
39209,150.95,150.88
39210,150.75,150.58
39211,151.16,150.64
39212,149.58,150.73
39213,150.86,149.75
39216,150.53,150.86
39217,150.57,150.7
39218,151.6,150.8
39219,151.3,151.38
39220,152.62,152.01
39223,152.54,152.58
39224,152.42,152.7
39225,152.44,152.95
39226,151.06,152.53
39227,151.69,151.49
